instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Chatfield College,2,3665996,4080800,5338,2154,399,5537,7750,41,251
The Christ College of Nursing and Health Sciences,2,2723399,2624459,2117,916,1220,5500,7950,113,338
Cincinnati Christian University,2,10370200,14657136,4380,2110,4679,5825,12380,197,1022
Cincinnati College of Mortuary Science,2,1260108,1888477,4536,1504,100,8240,16875,122,108
University of Cincinnati-Main Campus,1,392458502,1024120341,4478,927,3992,6390,7896,7254,39667
Cincinnati State Technical and Community College,1,43443355,84770734,3021,2126,4220,4581,4411,1132,10165
Ohio Christian University,2,9732824,14721264,2770,1286,3526,6028,13600,133,1117
Clark State Community College,1,13178518,29828160,3464,2236,1850,4644,2455,288,4032
Cleveland Institute of Art,2,16517797,22808147,4903,1531,14914,11898,29870,125,507
Cleveland Institute of Music,2,18176258,18254290,4806,1391,21966,7308,33750,128,437
Cleveland State University,1,143288911,266126996,5011,1156,3354,6038,7920,3429,16216
Columbus College of Art and Design,2,42039992,37376170,5066,2025,10095,8654,23688,262,1425
Kaplan College-Columbus Campus,3,11972633,8814589,4096,9738,268,9029,20658,57,527
Columbus State Community College,1,87265147,180860893,4997,2556,1471,4043,2844,1768,28539
University of Dayton,2,245226000,425683000,5837,2416,11232,11771,27510,2591,10908
Defiance College,2,21214292,21105169,5750,2139,10434,8114,22375,235,1070
Denison University,2,77234718,135876325,5408,1522,21354,9568,35650,519,2267
DeVry University-Ohio,3,54200996,51577984,3968,3872,1567,7584,14080,899,4654
Edison State Community College,1,7220378,18472876,4235,3821,2199,5856,3090,275,3519
The University of Findlay,2,90090001,88679829,4035,2243,14108,10528,25016,1147,4278
Franklin University,2,58913000,65888000,3127,1467,509,7254,7928,1902,7942
Gods Bible School and College,2,1406388,4036677,4732,231,1939,3464,4800,45,292
Good Samaritan College of Nursing & Health Science,2,3052034,5755449,3267,2256,1500,7524,14892,94,301
Heidelberg University,2,27124415,31719151,4820,2017,10233,8131,20826,237,1478
Hiram College,2,31054054,32929004,5130,2466,16486,8468,26435,285,1395
Hocking College,1,27248780,54647292,3749,1957,584,5528,2520,631,6340
Huron School of Nursing,2,1811688,1641091,4213,1060,454,6225,6228,,365
John Carroll University,2,91445776,101164791,5456,1997,15850,7154,27940,900,3714
Kent State University Kent Campus,1,302129444,591889555,4664,1150,3417,6438,8726,5859,41483
Kenyon College,2,64745184,107963932,2611,1595,23979,4005,39810,432,1633
Kettering College of Medical Arts,2,9143580,13693031,4553,1918,1293,9303,8040,218,899
Lake Erie College,2,24396039,23383560,4741,2049,15429,7519,23950,191,1131
Lakeland Community College,1,11481913,65831765,3977,2192,1377,5368,3419,875,9406
James A Rhodes State College,1,14992727,28555868,7853,1530,1004,5668,3323,524,4147
Lorain County Community College,1,27433381,95628858,3688,1268,2206,4029,2858,1234,12798
Lourdes College,2,42419050,49403766,4740,2154,3025,5997,10752,394,2202
Malone University,2,42496551,41482395,4944,2090,10570,6410,20730,626,2620
MedCentral College of Nursing,2,5358262,5948572,5056,1826,1528,6641,12990,99,371
Marietta College,2,39970445,45374182,5449,1692,15007,7851,26386,370,1597
Marion Technical College,1,8540748,15448292,4028,1779,1310,4440,4040,205,2659
Mercy College of Northwest Ohio,2,7429693,13137017,4479,1415,1476,5972,8850,232,1048
Miami University-Oxford,1,381281446,536378502,5002,1006,5069,6052,10122,4621,22247
Mount Carmel College of Nursing,2,11334480,12261876,2366,2256,1583,4937,14335,224,782
Mount Union College,2,50152552,56411761,4312,2075,11177,7346,23630,455,2212
Mount Vernon Nazarene University,2,38757498,42131085,4644,2019,7737,6625,19730,755,2622
College of Mount St. Joseph,2,42503148,40181700,4914,2290,10755,7820,22000,541,2324
Zane State College,1,17655559,29173253,4330,2753,2424,5586,3825,362,2592
Muskingum University,2,34625628,42440845,4950,2169,10938,7885,19190,359,2207
Brown Mackie College-North Canton,3,17986296,19385331,5001,4399,1000,11906,10116,252,1199
North Central State College,1,10659998,22409107,4423,2069,1076,3971,2448,341,3595
Northwest State Community College,1,12562077,25075337,4215,1563,3076,5611,3000,273,3665
Notre Dame College,2,29611008,25515211,4733,2162,12378,7473,22192,164,1872
University of Northwestern Ohio,2,49113538,53156033,4508,1485,2606,6668,13100,1222,3883
Oberlin College,2,114065744,202976794,5947,700,19721,5750,39686,659,2939
Ohio Dominican University,2,39862881,37020534,5263,3466,13817,6917,24116,805,3052
Kaplan College,3,15903259,12143617,4628,3505,504,10202,19903,159,801
Ohio Northern University,2,110397977,109509257,5258,2029,17568,13285,31626,754,3636
Ohio State University-Main Campus,1,785413623,4564663793,4828,1670,4975,6047,7983,14671,63217
Ohio University-Main Campus,1,303352545,604717106,4457,1084,2680,5987,8973,6144,32359
Ohio Valley College of Technology,3,2388116,2362508,5024,1935,1714,5387,9590,81,183
Ohio Wesleyan University,2,62929464,81913226,6673,1259,20931,6148,34570,429,1893
Otterbein College,2,67947374,67314204,5519,2069,13465,6331,27321,678,3063
Owens Community College,1,55336093,118470038,4363,1980,1308,5769,2580,1174,22530
RETS College,3,32355792,36084670,5591,6205,4201,7206,9721,413,1920
University of Rio Grande,2,21424381,25319758,4311,3050,4996,5655,18260,464,2096
Shawnee State University,1,31400075,57430681,4261,506,2685,5437,5184,597,4300
Sinclair Community College,1,44949956,164719953,3945,780,992,4045,3150,1683,21561
Stark State College of Technology,1,36081537,70676038,4134,2698,2454,6354,3048,1001,12476
Franciscan University of Steubenville,2,42019220,60233214,4098,1431,6930,6063,19250,705,2725
Southern State Community College,1,10709796,26177736,4328,1520,1020,2864,3390,387,3363
Terra State Community College,1,10269316,20655935,3806,808,729,4410,3341,211,3152
Tiffin University,2,37177630,34728074,4624,1829,9496,10232,17730,682,3429
University of Toledo,1,257674000,794520483,5082,1167,3915,6257,6815,4035,23064
Kaplan Career Institute,3,10490228,10288193,3940,9949,116,9557,14275,,678
Union Institute & University,2,23803377,23801697,5468,3208,715,8146,10896,695,1523
Urbana University,2,17597384,16374269,4303,2165,9179,8174,19600,290,1540
Ursuline College,2,24761624,26278186,5088,2792,10892,7183,22770,362,1515
Walsh University,2,49620773,46041300,5138,2199,11080,5855,20550,649,2760
Washington State Community College,1,7111808,18565821,5136,2438,2524,1987,3420,273,2184
Wilberforce University,2,8303903,15871923,7718,2140,3081,7874,11240,179,710
Wilmington College,2,27144659,25598355,4882,2175,12877,7610,23786,301,1602
Wittenberg University,2,60416564,59017513,5242,2323,19516,7759,33890,435,1934
The College of Wooster,2,62832379,100243135,5405,1859,20301,6212,34690,396,1853
Wright State University-Main Campus,1,161383354,374273099,4876,1352,3186,6719,7263,3673,18921
Xavier University,2,141138105,168639317,4787,1950,14025,7631,27900,1777,6966
ITT Technical Institute-Youngstown,3,14980159,14944217,4865,3052,2140,9768,16848,221,788
Youngstown State University,1,104765061,189042690,4444,1013,3695,3711,6727,2103,14644
Bacone College,2,5630227,15147264,3602,2734,5200,6577,9700,128,1021
Oklahoma Wesleyan University,2,13423765,15360164,5234,3564,7542,8205,16870,345,1069
Southern Nazarene University,2,32073505,38479204,4510,3398,6904,6410,17040,736,2110
Cameron University,1,26659655,53905352,4683,2029,3738,3923,2805,846,6126
Carl Albert State College,1,3125685,25577206,4906,1186,2845,3037,1224,427,2473
University of Central Oklahoma,1,64781359,161728599,4432,3159,2393,5251,3681,2776,16092
Connors State College,1,4419135,18162687,4236,2439,395,4271,1587,315,2335
East Central University,1,22333523,69659757,4363,2041,3230,1830,3012,955,4612
Eastern Oklahoma State College,1,4608371,23150754,2751,681,676,3436,2070,211,2084
Redlands Community College,1,3213611,12717712,4479,2251,4335,4043,2903,269,2319
Hillsdale Free Will Baptist College,2,2730704,4344794,3927,2906,1364,5529,8100,39,241
Langston University,1,9311274,59605965,4641,980,3508,7413,2640,456,2749
Murray State College,1,9516238,21957336,4445,1876,2675,2885,2430,350,2604
Spartan College of Aeronautics and Technology,3,20580604,22992501,4900,5000,1000,10051,14570,181,1281
Northeastern State University,1,38118040,98254626,4657,3091,2252,5377,3210,1680,9239
Northern Oklahoma College,1,12488785,41311450,4537,1633,2669,6095,1589,643,5228
Northeastern Oklahoma A&M College,1,5855762,23713735,4244,1378,3037,3333,1737,348,2191
Northwestern Oklahoma State University,1,10598377,23004707,4228,2697,2184,4205,3604,360,2210
Oklahoma Christian University,2,21387279,45254380,4823,3719,7458,5883,14690,448,2171
Oklahoma Panhandle State University,1,8515167,18301212,3066,2058,1936,4821,2738,210,1266
Oklahoma State University-Main Campus,1,184091668,641851551,4969,3669,4780,5011,3941,5079,23033
Oklahoma State University-Oklahoma City,1,13555309,35000606,4624,1600,909,5595,2311,613,7367
Oklahoma Baptist University,2,26905730,40474373,3874,3535,9430,5959,16242,325,1764
Oklahoma City Community College,1,24140990,71883770,4547,1592,561,5273,1817,1022,14114
Oklahoma City University,2,81311022,84579706,5005,3707,16893,7002,22250,1183,3829
University of Oklahoma Norman Campus,1,244591000,731373000,4407,3651,4754,5900,3537,5654,25881
Oklahoma State University Institute of Technology-Okmulgee,1,10689897,37209232,3419,2189,3080,5827,2760,620,4129
Oral Roberts University,2,58582472,116303886,5067,3420,10798,7771,18476,652,3140
Rogers State University,1,15881212,37737479,4861,2352,3876,4558,2729,458,4235
Rose State College,1,14182110,56790719,3557,1196,1546,3799,1935,688,8981
Saint Gregorys University,2,6559141,9342875,4322,3254,10703,7672,15394,131,738
University of Science and Arts of Oklahoma,1,3500681,19407315,6566,3376,4139,5247,2616,189,1091
Seminole State College,1,4302735,17360566,4251,1405,6406,4781,1725,290,2444
Southeastern Oklahoma State University,1,22483079,48053003,4630,2788,4423,3363,3639,753,4229
Southwestern Christian University,2,2934241,3693039,2793,2405,2527,5043,10500,57,331
Southwestern Oklahoma State University,1,18863806,64560121,4951,3519,2830,4818,3360,935,5010
Tulsa Community College,1,26669949,127641101,3680,1276,1018,4661,1493,1868,19730
University of Tulsa,2,101758511,238171084,4840,4971,16342,6768,26722,940,4187
Western Oklahoma State College,1,6932070,13653807,5826,1485,3001,4030,2488,262,3820
Blue Mountain Community College,1,6394780,26465473,4230,1950,1507,5203,3060,201,2720
Central Oregon Community College,1,14319908,48700629,4841,2180,2183,6362,3276,412,6261
Chemeketa Community College,1,33019066,136141037,3596,1922,2442,5593,3150,941,12217
Clackamas Community College,1,20140508,74415435,3207,1619,1784,4909,3465,521,8145
Clatsop Community College,1,3074327,18474886,3635,1649,642,5207,2592,94,2836
Concordia University,2,31252941,29370086,4528,2129,11599,6687,22900,549,1901
Eastern Oregon University,1,18059358,45723747,4550,2064,2262,6837,5109,685,3957
George Fox University,2,60272289,66375407,5243,2289,12217,6896,25860,1003,3388
Lane Community College,1,58606613,164900667,4210,1883,1379,6201,2916,816,12691
Lewis & Clark College,2,104776941,126292124,5246,1668,18809,6466,34995,806,3523
Linfield College,2,61936639,67880350,3110,2315,14637,5524,28760,671,2532
Linn-Benton Community College,1,18695494,69382209,4368,1946,1142,5393,2887,481,6512
Marylhurst University,2,22954758,26590030,4129,1525,4064,8124,16920,536,1902
Mt Hood Community College,1,24331000,103083799,3957,1851,1528,5155,3195,902,8897
Northwest Christian University,2,9637179,10944623,4921,1963,11174,7091,22900,185,557
Oregon Institute of Technology,1,18503190,53172466,4598,2192,2196,6133,5130,576,3915
Oregon College of Art and Craft,2,3334370,9830437,3170,669,4043,10957,19940,18,153
Oregon State University,1,188619267,712459318,4137,2534,4637,5785,5436,4490,22561
University of Oregon,1,282426500,646983074,4929,2114,3249,5843,6180,5036,22335
Pacific Northwest College of Art,2,15386362,13680890,4336,1678,9794,6890,22320,84,600
Pacific University,2,86758511,91042089,4240,2014,15303,6270,29290,994,3198
Portland State University,1,189104162,401700500,4878,2089,4689,6042,5321,5207,27901
University of Portland,2,108388760,108418000,5364,2078,15904,6407,30800,965,3706
Reed College,2,53238793,113124513,5985,2302,30194,4255,39440,344,1481
Rogue Community College,1,15503670,53365856,4388,1947,1291,5874,2628,283,5441
Southern Oregon University,1,29301767,74786914,4644,2108,2002,5543,4788,1000,5104
Southwestern Oregon Community College,1,5266030,35824899,3957,2147,1525,5578,2898,273,2206
Treasure Valley Community College,1,14718148,43555445,3974,2023,1621,5174,3285,179,2618
Warner Pacific College,2,12306391,14511379,4819,2399,4307,6343,22660,339,1332
Corban College,2,18676748,18454575,2297,2047,11789,8267,22950,236,1103
Willamette University,2,87732000,97691775,6095,1920,18806,6365,35400,755,2838
Western Oregon University,1,33567215,87535146,4650,1987,2190,5831,5640,1005,5649
Bryn Athyn College of the New Church,2,2357447,7911331,4600,2839,8163,3271,9741,49,211
Albright College,2,55812631,64100053,6710,3503,15454,8764,30800,496,2358
Allegheny College,2,70395843,82343201,5476,3071,16693,8093,33240,463,2132
DeSales University,2,54562187,59299059,5726,2882,12253,8726,26000,802,3150
Alvernia University,2,46314085,46498224,4678,2814,8697,7336,23900,653,2856
The Art Institutes of York-PA,3,13514404,15900687,5613,3818,1863,14223,25110,215,706
The Art Institute of Philadelphia,3,68148891,76611281,5568,3621,1623,12001,21600,516,3616
The Art Institute of Pittsburgh,3,59300465,67781215,5920,3455,1149,13020,22700,550,2765
Baptist Bible College and Seminary,2,8338917,11517084,4540,3287,7080,5975,15480,219,999
Community College of Beaver County,1,10414246,30777881,4417,1145,2697,4956,5370,355,2779
Arcadia University,2,84713000,78240000,4775,2830,15953,9683,30780,1034,3953
Bloomsburg University of Pennsylvania,1,73962039,158618100,5313,2861,2474,6624,5554,1977,9512
Bradford School,3,7897620,9886682,5044,3577,4956,8053,14160,262,601
Bryn Mawr College,2,59677000,158142000,6074,1549,30805,5134,37120,448,1771
Bucknell University,2,142965000,228686000,4652,2744,23994,6269,40594,928,3737
Bucks County Community College,1,34825553,81944309,4223,833,693,3910,5940,807,11009
Butler County Community College,1,13011845,26682993,2183,1992,937,2023,4740,345,4278
Cabrini College,2,63987857,61538379,5545,3374,14737,13721,30120,1116,3547
California University of Pennsylvania,1,67749332,135874545,4666,2817,8113,6706,5554,2311,9017
Cambria Rowe Business College,3,3637208,3934843,3045,3134,2090,6670,9150,142,308
Carlow University,2,34474747,35410811,5617,3662,10890,7234,20854,569,2533
Carnegie Mellon University,2,426852214,987480415,7608,2804,21486,6771,39470,3584,11197
Cedar Crest College,2,33904493,35837247,5024,3237,13486,7728,27735,395,1887
Central Pennsylvania College,3,14709498,16738171,4582,3047,1321,9085,13140,303,1216
Chatham University,2,40019988,49587732,3027,3258,14454,6565,27270,680,2219
Chestnut Hill College,2,37186515,36667056,5218,2995,13921,7875,27000,519,2320
Cheyney University of Pennsylvania,1,12009127,45892630,4920,4759,3082,7819,5554,196,1488
Clarion University of Pennsylvania,1,49371849,107437796,4648,2892,3080,6552,5554,1379,7346
Delaware County Community College,1,46881185,89475933,4182,1227,727,4174,5580,998,12237
Delaware Valley College,2,50132913,48665431,4650,2973,11905,8619,25692,464,2266
Dickinson College,2,95102442,141621624,8440,2994,25775,5737,39780,543,2376
Douglas Education Center,3,4523079,5074080,5287,4536,3404,11612,8808,110,354
Drexel University,2,572230505,780257324,5181,3057,13685,15746,29800,5201,22493
Du Bois Business College,3,3619753,3619753,3511,2693,3319,6347,9225,107,395
Duquesne University,2,248690000,268622000,4944,3101,11210,8441,24385,2577,10294
East Stroudsburg University of Pennsylvania,1,62184628,119305349,5092,2587,4564,8423,5554,1525,7576
Eastern University,2,63532456,74859233,4865,3167,11593,7430,23770,1092,4331
Edinboro University of Pennsylvania,1,56623612,114528835,4541,3350,3266,6705,5554,1683,8286
Elizabethtown College,2,64279953,67523712,5221,3097,15702,7107,31800,613,2361
Erie Business Center,3,4413156,4547854,5150,2872,2033,6419,8130,93,413
Erie Institute of Technology Inc,3,3609068,3927963,4242,6784,1892,7456,11500,54,279
Frankford Hospital School of Nursing,2,2541348,3218155,4069,3635,9000,7101,10350,,236
